StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,Geolocation
CA,Folsom,624638,72203,7.5,16.9,21.8,25.7,64.8,5.8,8.6,4.1,64.7,78.1,76.6,4.1,37.1,33.3,12.2,74.7,6.7,29.1,2.1,14.3,80.4,9.9,23.8,84.3,8.9,33.9,1.9,6.8,"(38.67504943280, -121.147605753)"
FL,Largo,1239425,77648,19.6,30.6,16.9,36.1,81,9,7.9,9.8,77.5,80.2,64.6,10,33.7,33.2,20.7,58.6,12.1,39,3.7,31,75.7,13.1,28.3,77.1,15.4,37.7,4.5,18.3,"(27.90909077340, -82.7714203383)"
CA,Berkeley,606000,112580,7.7,15.1,19.6,20.9,68.2,4.9,8.8,3.7,64.7,70,75.4,3.7,38.2,36.6,11.2,70,6.5,27.1,2.1,14.2,81.5,10.9,18.5,83.2,8.2,32.2,1.9,6.7,"(37.87256787650, -122.274907975)"
CA,Napa,650258,76915,12.3,20.7,19.2,28.1,70.2,6.5,8.9,5.8,63.8,75.4,69.3,5.9,37.9,30.3,14.5,70.2,8.9,34.1,2.8,19.8,76.7,12,24,83.9,12,32.7,2.8,11.2,"(38.29804246490, -122.301093331)"
FL,Sunrise,1269700,84439,22.8,22.8,16.3,33.3,76.7,6.5,8,6.7,77.7,78.7,59.7,7,30.5,26.2,16.5,61,12.1,37.1,3.2,29.5,82.5,12.7,28.1,81.3,13.3,38.1,3.7,16.2,"(26.15468783030, -80.2998411020)"
FL,Pembroke Pines,1255775,154750,21.4,20.8,17.1,30.3,76.3,6.3,7.1,6.1,77.4,80.6,61.9,5.7,31.6,27.1,13.1,66.6,11.1,36.1,3,26.4,82.7,10.9,25.7,82.2,11.6,35.8,3.1,14.1,"(26.01273875340, -80.3384522664)"
NJ,Trenton,3474000,84913,25.4,23.9,14.4,35.4,74.4,4.6,10.8,6.7,76.7,68.4,53.9,8.5,23,20.9,23.8,52.8,13.7,36,3.5,42.2,79.7,17,38.9,84.9,17.8,45.7,4.4,26.1,"(40.22372899810, -74.7639943311)"
CO,Pueblo,862000,106595,19.9,28.3,14.3,31.6,73.3,6.6,9.7,7.2,62.4,70.9,52.4,6.9,24.3,30.9,19.1,57.5,11,37.6,3.6,24.2,72.9,13.5,30,81.3,16.1,34.2,3.8,17.7,"(38.27339572510, -104.612001218)"
WI,Racine,5566000,78860,16.6,25.1,21.7,32.8,73.6,5.9,10.1,6.5,70.6,71.7,62.7,6.8,31.1,25.4,21.4,62.6,11,35.4,3.1,25.4,77.7,14,37.4,82.6,14.1,39.8,3.5,16.9,"(42.72745994940, -87.8134530240)"
WA,Auburn,5303180,70180,12.2,23.3,17.6,27.8,66.2,5.9,10.1,5.7,60.2,69.7,63.4,6.4,38.2,33,16.2,64.5,9.1,35.6,2.9,18.3,76.1,13.1,27.7,NA,12.4,32.7,3,13.6,"(47.30385443250, -122.210810557)"
TX,Austin,4805000,790390,20.6,14.5,20.9,22.5,69.7,4.3,8.3,3.9,63.8,69.5,64.1,4,35.9,28.6,14.9,65,7.9,30.3,2.2,20.4,79.4,11.4,25.4,83.4,9.4,29.7,2,10.1,"(30.30686103420, -97.7554771245)"
IL,Waukegan,1779293,89078,23.3,20.6,16.3,31.5,71.6,4.5,10,5.9,66,66.6,50.3,6.4,26.4,25.4,21.1,50.9,11.5,36.1,3.1,33.6,77.5,13.8,35.4,82.7,14.7,38.1,3.2,20.8,"(42.37029555820, -87.8712595095)"
MN,Brooklyn Park,2707966,75781,9.9,17.7,22.1,25.3,73.3,5,8.3,4.3,69.1,72.8,66.9,4,36.7,38,17.5,70.2,7.4,30.8,2.4,18.4,80.5,10.2,25.3,82.3,9,32.3,2.4,10.3,"(45.11120339160, -93.3505067942)"
WA,Renton,5357745,90927,11,20.2,17,26,65.7,5.5,9.1,4.7,61,71.5,65.3,4.7,39.9,35.1,13.1,68.2,8.4,33.5,2.6,16.2,77.3,11,24.4,NA,10.1,32.2,2.4,9.7,"(47.47605467520, -122.191153327)"
OK,Oklahoma City,4055000,579999,18.7,24.5,12.8,32.6,74.8,5.7,10.2,6.6,67.7,70.6,59.4,7.2,36.7,36.4,19,59.1,10.7,36.2,3,29.5,79,14.5,32.7,83.5,14,34.3,3.4,17.7,"(35.46756428800, -97.5137615524)"
GA,Augusta,1304204,195844,21.2,26.6,14.3,39.4,77.6,5.5,10.2,6.6,76.4,73.5,60.3,8,34.4,28,22.5,59.8,12.9,36.1,3.4,33.2,81.7,14.5,35.6,83.9,14.4,42.5,4.2,22.6,"(33.36445615270, -82.0708396775)"
