ID,NAME,CITY,STATE,TYPE,STATUS,COUNTY,OWNER,BEDS,PlaceName_Cleaned
76777520,HOUSTON METHODIST SAN JACINTO HOSPITAL ALEXANDER CAMPUS,BAYTOWN,TX,GENERAL ACUTE CARE,OPEN,HARRIS,NON-PROFIT,182,Baytown
129043230,"WOODS AT PARKSIDE,THE",COLUMBUS,OH,SPECIAL,OPEN,FRANKLIN,PROPRIETARY,50,Columbus
130045404,DAYTON CHILDREN'S HOSPITAL,DAYTON,OH,CHILDREN,OPEN,MONTGOMERY,NON-PROFIT,155,Dayton
128844512,VIBRA HOSPITAL OF MAHONING VALLEY,BOARDMAN,OH,LONG TERM CARE,OPEN,MAHONING,PROPRIETARY,45,Boardman
129845417,HAVEN BEHAVIORAL SENIOR CARE OF DAYTON,DAYTON,OH,PSYCHIATRIC,OPEN,MONTGOMERY,PROPRIETARY,32,Dayton
130774801,CHG CORNERSTONE HOSPITAL OF OKLAHOMA,SHAWNEE,OK,LONG TERM CARE,OPEN,POTTAWATOMIE,PROPRIETARY,34,Shawnee
131074538,MARY HURLEY HOSPITAL,COALGATE,OK,GENERAL ACUTE CARE,OPEN,COAL,NON-PROFIT,20,Coalgate
5258701,TRINITY HOSPITALS,MINOT,ND,GENERAL ACUTE CARE,OPEN,WARD,NON-PROFIT,251,Minot
10527016,LIFEBRITE COMMUNITY HOSPITAL OF STOKES,DANBURY,NC,GENERAL ACUTE CARE,OPEN,STOKES,PROPRIETARY,93,Danbury
77677090,PROVIDENCE HOSPITAL OF NORTH HOUSTON LLC,HOUSTON,TX,GENERAL ACUTE CARE,OPEN,HARRIS,PROPRIETARY,16,Houston
78178503,MCCALLEN MEDICAL CENTER,MCALLEN,TX,GENERAL ACUTE CARE,OPEN,HIDALGO,PROPRIETARY,441,Mcallen
165358103,PRAIRIE SAINT JOHN'S,FARGO,ND,PSYCHIATRIC,OPEN,CASS,PROPRIETARY,110,Fargo
78676458,FAITH COMMUNITY HOSPITAL,JACKSBORO,TX,GENERAL ACUTE CARE,OPEN,JACK,PROPRIETARY,17,Jacksboro
78979410,COVENANT MEDICAL CENTER - LAKESIDE,LUBBOCK,TX,GENERAL ACUTE CARE,OPEN,LUBBOCK,NON-PROFIT,196,Lubbock
79277386,WOODLANDS SPECIALTY HOSPITAL PLLC,THE WOODLANDS,TX,GENERAL ACUTE CARE,OPEN,MONTGOMERY,PROPRIETARY,6,The Woodlands
79478404,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,CORPUS CHRISTI,TX,GENERAL ACUTE CARE,OPEN,NUECES,NON-PROFIT,557,Corpus Christi
